221,141,421,401,1.000000
220,141,419,400,0.949197
221,141,420,400,0.889033
222,141,422,402,0.922236
222,141,422,402,0.944116
222,141,422,403,0.960635
223,141,424,404,0.926805
224,141,425,404,0.940223
224,140,426,404,0.940810
224,140,427,405,0.938160
225,140,428,405,0.923254
226,140,429,405,0.834027
226,139,430,404,0.786134
226,139,431,404,0.775904
226,140,430,404,0.732991
225,141,430,406,0.744311
225,142,430,406,0.731433
225,142,430,406,0.766989
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
273,171,440,388,0.652939
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
201,141,401,401,0.847131
213,143,411,400,0.712435
223,149,416,400,0.720497
229,154,417,399,0.666949
231,161,415,400,0.657977
232,166,413,401,0.628661
229,162,411,398,0.539018
231,160,413,396,0.564316
229,154,416,397,0.593515
220,140,419,399,0.576455
214,130,424,403,0.591421
212,125,425,402,0.587051
208,120,427,404,0.601003
202,117,424,405,0.509233
201,118,424,407,0.497527
202,116,424,404,0.557061
203,110,423,396,0.499119
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
221,101,421,361,0.663969
220,103,419,362,0.680328
219,105,419,366,0.676234
217,108,423,377,0.724536
216,119,424,390,0.674567
220,128,428,398,0.657019
221,126,430,397,0.599224
223,127,431,396,0.616781
224,128,431,396,0.676799
224,129,429,395,0.575116
224,129,429,395,0.576845
225,130,429,395,0.600118
226,131,429,395,0.551750
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
241,81,441,341,0.608716
244,78,448,343,0.589783
245,76,453,346,0.576142
243,75,452,347,0.586201
239,78,450,352,0.605392
236,82,448,357,0.607392
238,91,447,362,0.578203
235,101,444,372,0.553967
229,117,435,385,0.600367
224,126,430,394,0.553410
224,127,429,393,0.594179
225,127,430,392,0.635435
226,128,431,393,0.656937
225,128,431,395,0.712396
224,129,430,396,0.754151
224,130,430,397,0.770371
224,131,430,398,0.785373
223,132,428,399,0.785725
222,133,427,399,0.703692
221,133,426,399,0.734366
221,133,426,399,0.686380
219,134,423,400,0.680249
216,134,419,399,0.592972
214,134,416,398,0.776833
212,134,414,397,0.745777
213,134,415,396,0.727536
216,135,419,398,0.673881
215,133,418,396,0.663059
217,134,420,397,0.681797
224,130,431,399,0.633027
223,132,432,404,0.663413
224,132,432,402,0.635583
221,134,429,405,0.661857
220,134,429,406,0.655311
220,134,429,406,0.685900
220,134,430,408,0.668560
222,136,430,408,0.685484
